home_team,away_team,home_score,home_xg,away_score,away_xg,Attendance,Venue,Round,Date,Score,Host,Year
West Germany,Yugoslavia,1,,0,,20055,"Malmo Stadion, Malmï¿½",Quarter-finals,19-06-1958,1–0,Sweden,1958
Brazil,Wales,1,,0,,25923,"Nya Ullevi, Gothenburg",Quarter-finals,19-06-1958,1–0,Sweden,1958
Sweden,Soviet Union,2,,0,,31900,"Rasunda Stadium, Solna",Quarter-finals,19-06-1958,2–0,Sweden,1958
Northern Ireland,Czechoslovakia,2,,1,,6196,"Malmo Stadion, Malmï¿½",Group stage play-off,17-06-1958,2–1,Sweden,1958
Wales,Hungary,2,,1,,2823,"Rasunda Stadium, Solna",Group stage play-off,17-06-1958,2–1,Sweden,1958
Soviet Union,England,1,,0,,23182,"Nya Ullevi, Gothenburg",Group stage play-off,17-06-1958,1–0,Sweden,1958
Sweden,Wales,0,,0,,30287,"Rasunda Stadium, Solna",Group stage,15-06-1958,0–0,Sweden,1958
Paraguay,Yugoslavia,3,,3,,13103,"Tunavallen, Eskilstuna",Group stage,15-06-1958,3–3,Sweden,1958
West Germany,Northern Ireland,2,,2,,21990,"Malmo Stadion, Malmï¿½",Group stage,15-06-1958,2–2,Sweden,1958
Czechoslovakia,Argentina,6,,1,,16418,"Olympia Stadium, Helsingborg",Group stage,15-06-1958,6–1,Sweden,1958
England,Austria,2,,2,,15872,"Ryavallen, Boras",Group stage,15-06-1958,2–2,Sweden,1958
Brazil,Soviet Union,2,,0,,50928,"Nya Ullevi, Gothenburg",Group stage,15-06-1958,2–0,Sweden,1958
Hungary,Mexico,4,,0,,13300,"Jarnvallen, Sandviken",Group stage,15-06-1958,4–0,Sweden,1958
France,Scotland,2,,1,,13554,"Eyravallen, Orebro",Group stage,15-06-1958,2–1,Sweden,1958
Sweden,Hungary,2,,1,,38850,"Rasunda Stadium, Solna",Group stage,12-06-1958,2–1,Sweden,1958
Soviet Union,Austria,2,,0,,21239,"Ryavallen, Boras",Group stage,11-06-1958,2–0,Sweden,1958
West Germany,Czechoslovakia,2,,2,,25000,"Olympia Stadium, Helsingborg",Group stage,11-06-1958,2–2,Sweden,1958
Argentina,Northern Ireland,3,,1,,14174,"Orjans Vall, Halmstad",Group stage,11-06-1958,3–1,Sweden,1958
Yugoslavia,France,3,,2,,12217,"Arosvallen, Vasteras",Group stage,11-06-1958,3–2,Sweden,1958
Paraguay,Scotland,3,,2,,11665,"Idrottsparken, Norrkï¿½Ping",Group stage,11-06-1958,3–2,Sweden,1958
Brazil,England,0,,0,,40895,"Nya Ullevi, Gothenburg",Group stage,11-06-1958,0–0,Sweden,1958
Mexico,Wales,1,,1,,15150,"Rasunda Stadium, Solna",Group stage,11-06-1958,1–1,Sweden,1958
Sweden,Mexico,3,,0,,34107,"Rasunda Stadium, Solna",Group stage,08-06-1958,3–0,Sweden,1958
Northern Ireland,Czechoslovakia,1,,0,,10647,"Orjans Vall, Halmstad",Group stage,08-06-1958,1–0,Sweden,1958
Hungary,Wales,1,,1,,15343,"Jarnvallen, Sandviken",Group stage,08-06-1958,1–1,Sweden,1958
Yugoslavia,Scotland,1,,1,,9591,"Arosvallen, Vasteras",Group stage,08-06-1958,1–1,Sweden,1958
Brazil,Austria,3,,0,,17788,"Rimnersvallen, Udevalla",Group stage,08-06-1958,3–0,Sweden,1958
Soviet Union,England,2,,2,,49348,"Nya Ullevi, Gothenburg",Group stage,08-06-1958,2–2,Sweden,1958
France,Paraguay,7,,3,,16518,"Idrottsparken, Norrkï¿½Ping",Group stage,08-06-1958,7–3,Sweden,1958
Argentina,West Germany,1,,3,,31156,"Malmo Stadion, Malmï¿½",Group stage,08-06-1958,1–3,Sweden,1958
Germany,Hungary,3,,2,,62500,"Wankdorf Stadium, Berne",Final,04-07-1954,3–2,Switzerland,1954
Austria,Uruguay,3,,1,,32000,"Hardturm, Zurich",Third-place match,03-07-1954,3–1,Switzerland,1954
Hungary,Uruguay,4,,2,,45000,"La Pontaise, Lausanne",Semi-finals,30-06-1954,4–2,Switzerland,1954
Germany,Austria,6,,1,,58000,"St. Jakob, Basel",Semi-finals,30-06-1954,6–1,Switzerland,1954
Germany,Yugoslavia,2,,0,,17000,"Charmilles, Geneva",Quarter-finals,27-06-1954,2–0,Switzerland,1954
Hungary,Brazil,4,,2,,40000,"Wankdorf Stadium, Berne",Quarter-finals,27-06-1954,4–2,Switzerland,1954
Uruguay,England,4,,2,,28000,"St. Jakob, Basel",Quarter-finals,26-06-1954,4–2,Switzerland,1954
Switzerland,Austria,5,,7,,35000,"La Pontaise, Lausanne",Quarter-finals,26-06-1954,5–7,Switzerland,1954
Germany,Türkiye,7,,2,,17000,"Hardturm, Zurich",Group stage play-off,23-06-1954,7–2,Switzerland,1954
Switzerland,Italy,4,,1,,30000,"St. Jakob, Basel",Group stage play-off,23-06-1954,4–1,Switzerland,1954
Hungary,Germany,8,,3,,56000,"St. Jakob, Basel",Group stage,20-06-1954,8–3,Switzerland,1954
Türkiye,Korea Republic,7,,0,,4000,"Charmilles, Geneva",Group stage,20-06-1954,7–0,Switzerland,1954
Italy,Belgium,4,,1,,24000,"Comunale di Cornaredo, Lugano",Group stage,20-06-1954,4–1,Switzerland,1954
Switzerland,England,0,,2,,43500,"Wankdorf Stadium, Berne",Group stage,20-06-1954,0–2,Switzerland,1954
Uruguay,Scotland,7,,0,,34000,"St. Jakob, Basel",Group stage,19-06-1954,7–0,Switzerland,1954
Brazil,Yugoslavia,1,,1,,24637,"La Pontaise, Lausanne",Group stage,19-06-1954,1–1,Switzerland,1954
Austria,Czechoslovakia,5,,0,,26000,"Hardturm, Zurich",Group stage,19-06-1954,5–0,Switzerland,1954
France,Mexico,3,,2,,19000,"Charmilles, Geneva",Group stage,19-06-1954,3–2,Switzerland,1954
Switzerland,Italy,2,,1,,43000,"La Pontaise, Lausanne",Group stage,17-06-1954,2–1,Switzerland,1954
Hungary,Korea Republic,9,,0,,13000,"Hardturm, Zurich",Group stage,17-06-1954,9–0,Switzerland,1954
Germany,Türkiye,4,,1,,28000,"Wankdorf Stadium, Berne",Group stage,17-06-1954,4–1,Switzerland,1954
England,Belgium,4,,4,,14000,"St. Jakob, Basel",Group stage,17-06-1954,4–4,Switzerland,1954
Uruguay,Czechoslovakia,2,,0,,20500,"Wankdorf Stadium, Berne",Group stage,16-06-1954,2–0,Switzerland,1954
Yugoslavia,France,1,,0,,16000,"La Pontaise, Lausanne",Group stage,16-06-1954,1–0,Switzerland,1954
Brazil,Mexico,5,,0,,13470,"Charmilles, Geneva",Group stage,16-06-1954,5–0,Switzerland,1954
Austria,Scotland,1,,0,,25000,"Hardturm, Zurich",Group stage,16-06-1954,1–0,Switzerland,1954
Sweden,Spain,3,,1,,11227,"Pacaembu, Sao Paulo",Final stage,16-07-1950,3–1,Brazil,1950
Uruguay,Brazil,2,,1,,173850,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Final stage,16-07-1950,2–1,Brazil,1950
Brazil,Spain,6,,1,,152772,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Final stage,13-07-1950,6–1,Brazil,1950
Uruguay,Sweden,3,,2,,7987,"Pacaembu, Sao Paulo",Final stage,13-07-1950,3–2,Brazil,1950
Brazil,Sweden,7,,1,,138886,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Final stage,09-07-1950,7–1,Brazil,1950
Uruguay,Spain,2,,2,,44802,"Pacaembu, Sao Paulo",Final stage,09-07-1950,2–2,Brazil,1950
Chile,United States,5,,2,,8501,"Ilha do Retiro, Recife",Group stage,02-07-1950,5–2,Brazil,1950
Italy,Paraguay,2,,0,,25811,"Pacaembu, Sao Paulo",Group stage,02-07-1950,2–0,Brazil,1950
Uruguay,Bolivia,8,,0,,5284,"Independencia, Belo Horizonte",Group stage,02-07-1950,8–0,Brazil,1950
Spain,England,1,,0,,74462,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,02-07-1950,1–0,Brazil,1950
Switzerland,Mexico,2,,1,,3580,"Eucaliptos, Porto Alegre",Group stage,02-07-1950,2–1,Brazil,1950
Brazil,Yugoslavia,2,,0,,142429,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,01-07-1950,2–0,Brazil,1950
Spain,Chile,2,,0,,19790,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,29-06-1950,2–0,Brazil,1950
United States,England,1,,0,,10151,"Independencia, Belo Horizonte",Group stage,29-06-1950,1–0,Brazil,1950
Sweden,Paraguay,2,,2,,7903,"Durival de Brito, Curitiba",Group stage,29-06-1950,2–2,Brazil,1950
Brazil,Switzerland,2,,2,,42032,"Pacaembu, Sao Paulo",Group stage,28-06-1950,2–2,Brazil,1950
Yugoslavia,Mexico,4,,1,,11078,"Eucaliptos, Porto Alegre",Group stage,28-06-1950,4–1,Brazil,1950
Sweden,Italy,3,,2,,36502,"Pacaembu, Sao Paulo",Group stage,25-06-1950,3–2,Brazil,1950
England,Chile,2,,0,,29703,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,25-06-1950,2–0,Brazil,1950
Spain,United States,3,,1,,9511,"Durival de Brito, Curitiba",Group stage,25-06-1950,3–1,Brazil,1950
Yugoslavia,Switzerland,3,,0,,7336,"Independencia, Belo Horizonte",Group stage,25-06-1950,3–0,Brazil,1950
Brazil,Mexico,4,,0,,81649,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,24-06-1950,4–0,Brazil,1950
Brazil,Sweden,4,,2,,12000,"Stade du Parc Lescure, Bordeaux",Third-place match,19-06-1938,4–2,France,1938
Italy,Hungary,4,,2,,45000,"Stade Olympique, Colombes",Final,19-06-1938,4–2,France,1938
Hungary,Sweden,5,,1,,20000,"Parc des Princes, Paris",Semi-finals,16-06-1938,5–1,France,1938
Italy,Brazil,2,,1,,33000,"Stade Vï¿½lodrome, Marseilles",Semi-finals,16-06-1938,2–1,France,1938
Brazil,Czechoslovakia,2,,1,,18141,"Stade du Parc Lescure, Bordeaux",Quarter-finals,14-06-1938,2–1,France,1938
Sweden,Cuba,8,,0,,7000,"Fort Carree, Antibes",Quarter-finals,12-06-1938,8–0,France,1938
Brazil,Czechoslovakia,1,,1,,22021,"Stade du Parc Lescure, Bordeaux",Quarter-finals,12-06-1938,1–1,France,1938
Hungary,Switzerland,2,,0,,15000,"Victor Boucquey, Lille",Quarter-finals,12-06-1938,2–0,France,1938
Italy,France,3,,1,,58455,"Stade Olympique, Colombes",Quarter-finals,12-06-1938,3–1,France,1938
Switzerland,Germany,4,,2,,20025,"Parc des Princes, Paris",Round of 16,09-06-1938,4–2,France,1938
Cuba,Romania,2,,1,,8000,"Stade Municipal, Toulouse",Round of 16,09-06-1938,2–1,France,1938
Italy,Norway,2,,1,,19000,"Stade Vï¿½lodrome, Marseilles",Round of 16,05-06-1938,2–1,France,1938
Cuba,Romania,3,,3,,7000,"Stade Municipal, Toulouse",Round of 16,05-06-1938,3–3,France,1938
Hungary,Dutch East Indies,6,,0,,9000,"Velodrome Municipale, Reims",Round of 16,05-06-1938,6–0,France,1938
France,Belgium,3,,1,,30454,"Stade Olympique, Colombes",Round of 16,05-06-1938,3–1,France,1938
Brazil,Poland,6,,5,,13452,"Stade de la Meinau, Strasbourg",Round of 16,05-06-1938,6–5,France,1938
Czechoslovakia,Netherlands,3,,0,,11000,"Cavee Verte, Le Havre",Round of 16,05-06-1938,3–0,France,1938
Switzerland,Germany,1,,1,,27152,"Parc des Princes, Paris",Round of 16,04-06-1938,1–1,France,1938
Italy,Czechoslovakia,2,,1,,55000,"Nazionale PNF, Rome",Final,10-06-1934,2–1,Italy,1934
Germany,Austria,3,,2,,7000,"Giorgio Ascarelli, Naples",Third-place match,07-06-1934,3–2,Italy,1934
Czechoslovakia,Germany,3,,1,,15000,"Nazionale PNF, Rome",Semi-finals,03-06-1934,3–1,Italy,1934
Italy,Austria,1,,0,,35000,"San Siro, Milan",Semi-finals,03-06-1934,1–0,Italy,1934
Italy,Spain,1,,0,,43000,"Giovanni Berta, Florence",Quarter-finals,01-06-1934,1–0,Italy,1934
Austria,Hungary,2,,1,,23000,"Littorale, Bologna",Quarter-finals,31-05-1934,2–1,Italy,1934
Czechoslovakia,Switzerland,3,,2,,12000,"Stadio Benito Mussolini, Turin",Quarter-finals,31-05-1934,3–2,Italy,1934
Italy,Spain,1,,1,,35000,"Giovanni Berta, Florence",Quarter-finals,31-05-1934,1–1,Italy,1934
Germany,Sweden,2,,1,,3000,"San Siro, Milan",Quarter-finals,31-05-1934,2–1,Italy,1934
Czechoslovakia,Romania,2,,1,,9000,"Littorio, Trieste",Round of 16,27-05-1934,2–1,Italy,1934
Hungary,Egypt,4,,2,,9000,"Giorgio Ascarelli, Naples",Round of 16,27-05-1934,4–2,Italy,1934
Austria,France,3,,2,,16000,"Stadio Benito Mussolini, Turin",Round of 16,27-05-1934,3–2,Italy,1934
Switzerland,Netherlands,3,,2,,33000,"San Siro, Milan",Round of 16,27-05-1934,3–2,Italy,1934
Sweden,Argentina,3,,2,,14000,"Littorale, Bologna",Round of 16,27-05-1934,3–2,Italy,1934
Spain,Brazil,3,,1,,21000,"Luigi Ferraris, Genoa",Round of 16,27-05-1934,3–1,Italy,1934
Germany,Belgium,5,,2,,8000,"Giovanni Berta, Florence",Round of 16,27-05-1934,5–2,Italy,1934
Italy,United States,7,,1,,25000,"Nazionale PNF, Rome",Round of 16,27-05-1934,7–1,Italy,1934
Uruguay,Argentina,4,,2,,68346,"Estadio Centenario, Montevideo",Final,30-07-1930,4–2,Uruguay,1930
Uruguay,Yugoslavia,6,,1,,79867,"Estadio Centenario, Montevideo",Semi-finals,27-07-1930,6–1,Uruguay,1930
Argentina,United States,6,,1,,72886,"Estadio Centenario, Montevideo",Semi-finals,26-07-1930,6–1,Uruguay,1930
Argentina,Chile,3,,1,,41459,"Estadio Centenario, Montevideo",Group stage,22-07-1930,3–1,Uruguay,1930
Uruguay,Romania,4,,0,,70022,"Estadio Centenario, Montevideo",Group stage,21-07-1930,4–0,Uruguay,1930
Brazil,Bolivia,4,,0,,25466,"Estadio Centenario, Montevideo",Group stage,20-07-1930,4–0,Uruguay,1930
Paraguay,Belgium,1,,0,,12000,"Estadio Centenario, Montevideo",Group stage,20-07-1930,1–0,Uruguay,1930
Chile,France,1,,0,,2000,"Estadio Centenario, Montevideo",Group stage,19-07-1930,1–0,Uruguay,1930
Argentina,Mexico,6,,3,,42100,"Estadio Centenario, Montevideo",Group stage,19-07-1930,6–3,Uruguay,1930
Uruguay,Peru,1,,0,,57735,"Estadio Centenario, Montevideo",Group stage,18-07-1930,1–0,Uruguay,1930
Yugoslavia,Bolivia,4,,0,,18306,"Parque Central, Montevideo",Group stage,17-07-1930,4–0,Uruguay,1930
United States,Paraguay,3,,0,,18306,"Parque Central, Montevideo",Group stage,17-07-1930,3–0,Uruguay,1930
Chile,Mexico,3,,0,,9249,"Parque Central, Montevideo",Group stage,16-07-1930,3–0,Uruguay,1930
Argentina,France,1,,0,,23409,"Parque Central, Montevideo",Group stage,15-07-1930,1–0,Uruguay,1930
Yugoslavia,Brazil,2,,1,,24059,"Parque Central, Montevideo",Group stage,14-07-1930,2–1,Uruguay,1930
Romania,Peru,3,,1,,2549,"Pocitos, Montevideo",Group stage,14-07-1930,3–1,Uruguay,1930
United States,Belgium,3,,0,,18346,"Parque Central, Montevideo",Group stage,13-07-1930,3–0,Uruguay,1930
France,Mexico,4,,1,,4444,"Pocitos, Montevideo",Group stage,13-07-1930,4–1,Uruguay,1930
